Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK
Date,,,,,,
2025-05-09,31.25,31.25,31.25,30.75,31.25,29798300
2025-05-13,31.0,31.0,31.75,31.0,31.25,81889800
2025-05-14,31.25,31.25,31.25,31.0,31.0,36743400
2025-05-15,31.0,31.0,31.25,30.75,31.25,49774200
2025-05-16,31.25,31.25,31.25,30.75,31.0,30926700
2025-05-19,31.0,31.0,31.25,30.75,31.0,32321500
2025-05-20,30.75,30.75,31.0,30.75,31.0,10621300
2025-05-21,30.75,30.75,31.0,30.5,31.0,57019900
2025-05-22,30.5,30.5,30.75,30.25,30.5,32095000
2025-05-23,30.5,30.5,30.75,30.25,30.75,26930600
2025-05-26,30.25,30.25,30.75,30.25,30.5,29419300
2025-05-27,30.25,30.25,30.5,30.0,30.25,48403000
2025-05-28,30.25,30.25,30.5,30.25,30.25,16106200
2025-05-29,30.25,30.25,30.5,30.25,30.5,12466700
2025-05-30,29.75,29.75,30.5,29.75,30.25,84654300
